class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,60648,,0,,0,0,0,0,0,0,1626,0,1438568,498248,12644,0,2609424,0,0,0,0,0,5015572,4429964,802072,488934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951086,0,1210,152,350,2160,1441762,505446,6,0,0,0,915704,474840,198312,117734,78238,62004,101894,2360,0,0,5818902,0,202,164,0,2609424,73882,260202,538640,179660,156680,144160,171620,,,,,135360,60647.31,5818902,5818902,1995182,6616,218716,79482,967140,1951086,1209600,0,,,,4162776.96,0,1368347.52,0,0,0,0,0,0,392374,1003372,515412,31724,7728,476,,0,5818902,,3840,508,3138,388964,227412,991946,332418,2860,0,0,,,,,,,,,,6220,206,0,0,0,0,0,0,0,0,30396,0,0,0,0,0,0,0,0,0,0,0,0,647320,920.06,1080,479578,533166,340228,126074,183040,97016,66958,45046,76180,3800,0,0
pos,175462,,0,,0,0,0,0,1320,850394,11353196,20122270,9920458,965528,1708,0,18465130,5412,126,0,292664,525168,34086784,25926660,13306156,7515344,0,0,0,0,0,0,23547578,6209874,228106,1737098,7656628,3068338,214660,250756,305318,0,33716,25240,32146,66586,5763966,36824142,472560,0,0,0,32498942,4418180,2204128,1652336,1096992,643854,508692,195056,176,0,47693164,0,3608,1202,210,18465130,835274,5065336,8227976,397660,415680,424600,336420,410000,487180,575260,548080,133740,175462.91,47693164,47693164,47126436,124581,401656,112418,433120,43218356,1209600,0,,,,27952000.32,1137364.8,14080648.32,0,0,0,68206,977322,10480734,18779918,11478290,1245992,145346,41222,1326,,5908,47693164,,44634,13504,11803334,3099130,7475854,19353124,1420112,8662,2,0,,,,,,,,,,50568,256,0,0,87820,509804,0,0,0,0,503408,2634,534,0,0,979220,151702,47197300,5703592,0,0,0,0,55528190,15646.34,19092,15742890,24985512,2059468,348208,61040,8862,4230,2860,5022,264,0,0
pos,103736,0,2748,,0,0,0,1748,147410,1443998,5278850,6928156,5578338,3061548,1101576,125490,8757158,4830,0,,164414,263018,19658488,17558538,4237076,2104890,4,0,646730,0,11112,3580,0,0,0,0,0,0,0,1398982,22117606,150526,28884,11650,31148,128528,374804,21202464,901274,988360,2,0,12202894,5081716,3426404,1328970,548412,314052,227130,191220,144884,201432,24059658,480,346,2300,1712,8757158,302520,743000,3477968,186340,367480,243860,255120,263800,267140,302380,246980,190680,103736.23,24059658,24059658,23958746,81637,235370,,1061480,23726816,1209600,0,,,,7420178.88,11891403.84,4385997.12,1074,2412,46820,310020,1762414,2804066,5260418,7249300,3650506,2123270,447132,13168,,0,24059658,0,14718,1730,5864090,3642954,6534632,3735010,3713330,157782,2866,2,,,,,,,,,,21234,320,,,,,,,,,148002,39844,9528,0,0,588024,88042,12142900,1613234,0,0,0,0,,,4372,16441502,2782702,1200284,419802,598164,338668,337800,1522420,25772,0,0,0
neg,61786,,518,444,0,0,0,0,0,0,368,1781454,1907808,283010,16444,312,1957572,0,0,0,0,0,3669438,3387384,477786,221882,0,0,0,0,1588,278,0,0,0,0,0,118176,1879886,1706066,285268,0,2072,846,998,1168,31648,3952596,68,0,0,0,1438470,922174,318050,264144,236858,220394,261204,327474,628,0,4147774,2258,834,1082,4,1957572,39062,254226,222630,142880,129800,149740,,,,,,49300,61786.95,4147774,4147774,4149394,24839,198,47776,512680,3989396,1209600,100024,0,164,0,3506139.84,0.0,480584.64,0,588,0,0,0,504492,2348862,1021588,100314,12032,2066,42,0,4,4147774,,4388,558,41886,239498,157870,1928004,1585294,31524,372,2,594,790,3451624,228358,0,2394,0,0,3548884,1910,348,0,0,0,0,0,0,0,0,18600,38428,7458,0,0,90694,13696,406620,41314,3860374,388,0,0,1786960,1022.9,1278,511824,710998,505794,251898,573198,540006,457102,178198,234906,25472,0,0
neg,57062,,2130706432,456,0,0,0,0,0,0,790,216494,2386358,952630,24356,0,1540646,0,0,0,0,0,3520384,3237808,329456,225740,0,0,0,0,854,338,0,0,0,0,0,59162,797126,1462552,1261788,0,3530,1720,3334,49566,2904046,614006,4426,0,0,0,1170336,708966,483884,460486,277766,181560,287710,9920,0,0,3850390,0,16,774,30,1540646,35550,187726,140898,96160,103060,107340,,,,,,17120,57061.34,3850390,3850390,3869190,17871,5344,18964,213520,3580628,1209600,145972,2,82,0,3136935.36,0.0,439860.48,0,0,0,0,0,54314,709510,1908690,850406,46332,10328,1048,46,354,3850390,,5632,724,4628,355602,153512,2470052,583740,6738,0,0,748,816,3135410,176076,0,20604,0,42,3162856,2748,128,0,0,0,0,0,0,0,0,18614,38332,17282,0,0,104440,23094,7024480,729308,0,0,0,0,17061340,2092.3,1422,467874,636092,445106,212170,380220,363082,328850,276684,451332,19218,0,0
neg,40214,,2130706432,122,0,0,0,0,0,0,188822,840632,1374580,494720,32108,590,1270634,0,0,0,5216,11894,2622806,2276306,533606,302158,0,0,0,0,264,82,0,2166,6256,7178,19596,94234,1048970,701176,1051876,0,5668,6246,10178,47696,441504,2420110,50,0,0,0,1117426,673068,353790,171784,104610,104938,260426,145410,0,0,3162158,64,590,2470,4,1270634,40570,324112,207632,213780,217780,,,,,,,97040,40213.35,3162158,3162158,3157886,16348,944,70942,737120,2931452,1209600,70784,2,48,0,2237418.24,0.0,691205.76,188,976,0,0,32504,473106,1064022,1078668,264382,16226,2480,64,32,44,3162158,,4116,440,23192,238040,116546,1170472,1340994,36628,1024,0,234,176,2215774,780804,0,8602,0,8,2254090,1636,196,0,0,0,0,0,0,0,0,25724,30496,11488,0,0,46840,9664,5159300,521576,0,0,0,0,1076680,1112.02,1180,709570,363272,289640,157184,347436,735458,280654,41364,6868,6,0,0
neg,41970,,330,280,0,0,0,0,0,0,22302,1500046,2175540,351794,24494,240,1679684,5126,0,0,0,532,3144646,2180584,1428202,766636,0,0,0,0,1756,690,0,0,0,0,0,0,3555274,363594,155548,0,5168,1306,2158,265872,2451628,1346300,1978,6,0,0,2110722,733684,253156,177286,140296,119698,150628,380424,8522,0,4574686,278,778,1820,92,1679684,60686,517214,906992,399240,385880,334000,,,,,,294020,41969.71,4574686,4574686,4509402,21154,39102,79716,928700,4074416,1209600,144906,0,164,0,3006523.2,54.72,1062824.64,0,0,0,0,1050,127592,1847620,1781996,272084,33894,9554,626,488,496,4574686,,10480,1546,68136,699298,312686,2231876,722058,28202,134,0,480,2030,2085152,229884,0,109736,0,24,3099662,6364,450,0,0,40,90,0,0,0,0,42502,25530,8510,0,0,126702,19646,3185300,484604,0,0,0,0,2134920,3351.96,3466,1136720,874918,534186,386186,1032762,105754,3276,528,82,4,0,0
neg,434,0,4,4,0,0,0,0,0,0,32,34244,5868,0,0,0,19014,0,0,0,0,0,39876,32188,11578,1490,0,0,0,0,34,22,0,0,0,0,0,0,0,16178,23966,0,2844,64,108,70,132,31160,5766,0,0,0,21204,11466,4638,1456,970,246,110,54,0,0,51540,4,0,2,0,19014,712,5506,5950,,,,,,,,,10880,434.29,51540,51540,51022,147,6,4752,50800,40284,1209600,1098,0,8,0,24084.48,2105.28,11568.0,0,40,0,0,0,4394,23068,9962,2650,46,24,0,4,8,51540,0,2700,64,884,2190,1072,8616,23504,1092,22,0,4,92,24490,4530,0,34,0,0,26166,224,94,120,3908,0,0,0,0,0,0,612,4,2,0,0,556,110,1000,142,0,0,0,0,0,282.24,158,16786,5248,1900,728,942,1744,3342,9454,0,0,0,0
neg,14,,26,16,0,0,0,0,0,0,1060,5244,1394,0,0,0,3372,0,0,0,98,230,9572,7044,22076,692,0,0,0,0,26,6,0,0,0,0,0,0,0,1374,6324,0,1004,16,12,26,16,6622,2,0,0,0,6534,280,158,134,34,20,72,376,82,8,31764,6,4,0,0,3372,230,18942,3098,1310700,1310700,1310700,1310700,1310700,1310700,1310700,1310700,21920,13.26,31764,31764,35526,27,0,3024,31600,7698,1209600,386,0,2,0,2611.2,0.0,4076.16,,,0,0,558,4604,1810,726,0,0,0,0,0,4,31764,,1002,8,12,108,762,5182,624,0,0,0,16,16,2168,0,0,0,0,0,2988,70,48,0,0,0,0,0,0,0,0,196,0,0,752,250,80,30,740,80,146,30,0,0,0,,,5482,1898,164,46,66,26,12,4,0,0,0,0
neg,42,0,104,26,0,0,0,0,0,74,6844,6254,1270,0,0,0,6454,0,0,0,1620,2752,23944,21782,18994,498,0,0,0,0,50,48,0,0,0,0,0,0,0,0,14442,0,1184,24,42,44,92,5096,7474,486,0,0,10832,1692,464,442,152,122,526,84,100,28,44572,0,0,2,0,6454,394,15730,3232,,,,,,,,,18580,41.04,44572,44572,45090,44,116,4280,44200,14520,1209600,920,0,4,0,6308.16,23.04,7281.6,0,30,0,12,4148,7022,3074,176,10,0,0,0,12,28,44572,0,1212,20,20,940,414,1192,9112,1322,204,6,92,86,5546,64,0,10,0,0,7208,82,194,0,0,390,116,0,0,0,0,346,0,0,5302,830,164,58,1040,510,62966,52,0,0,0,129.76,92,8550,4836,436,88,136,84,86,226,0,0,0,0
